timestamp,close,open,high,low
2020/3/26,7.0735,7.0935,7.1226,7.0683
2020/3/25,7.1148,7.0655,7.1202,7.0526
2020/3/24,7.0631,7.0869,7.0931,7.0587
2020/3/23,7.0926,7.0998,7.1242,7.0791
2020/3/20,7.096,7.1059,7.1061,7.0497
2020/3/19,7.1082,7.0483,7.1263,7.0483
2020/3/18,7.0474,7.0216,7.0481,7.0039
2020/3/17,7.0079,6.9951,7.0249,6.9869
2020/3/16,6.9933,7.0016,7.0251,6.9895
2020/3/13,7.0086,7.0299,7.0379,6.9773
2020/3/12,7.0295,6.9611,7.0373,6.9611
2020/3/11,6.9605,6.9584,6.9656,6.9442
2020/3/10,6.9564,6.94,6.9612,6.9284
2020/3/9,6.9466,6.9108,6.955,6.9108
2020/3/6,6.9321,6.9441,6.9601,6.9261
2020/3/5,6.9373,6.9378,6.9444,6.9295
2020/3/4,6.9262,6.9422,6.9522,6.9215
2020/3/3,6.962,6.9605,6.9873,6.9595
2020/3/2,6.961,6.974,6.9778,6.9516
2020/2/28,6.9919,7.0032,7.0133,6.9796
2020/2/27,7.0045,7.0154,7.0222,7.0008
2020/2/26,7.0225,7.0126,7.026,7.0126
2020/2/25,7.0135,7.011,7.0197,7.008
2020/2/24,7.0294,7.0385,7.0406,7.0237
2020/2/21,7.0271,7.0295,7.0442,7.0263
2020/2/20,7.0229,7.0074,7.0261,7.0027
2020/2/19,6.9982,7.0058,7.0133,6.9893
2020/2/18,6.9971,6.9854,7.0088,6.9854
2020/2/17,6.9813,6.9806,6.9832,6.9718
2020/2/14,6.9869,6.9734,6.9879,6.9734
2020/2/13,6.977,6.9736,6.9862,6.9724
2020/2/12,6.9719,6.9672,6.9771,6.9592
2020/2/11,6.966,6.9834,6.9834,6.9595
2020/2/10,6.9844,7.0001,7.0038,6.9772
2020/2/7,7.0015,6.9776,7.002,6.9759
2020/2/6,6.9708,6.9749,6.9828,6.9564
2020/2/5,6.9738,6.9978,7.0088,6.9668
2020/2/4,6.9985,7.0213,7.0213,6.9871
2020/2/3,7.0215,6.9371,7.0256,6.9371
2020/1/31,6.9367,6.9367,6.9367,6.9367
2020/1/30,6.9367,6.9367,6.9367,6.9367
2020/1/29,6.9367,6.9367,6.9367,6.9367
2020/1/28,6.9367,6.9367,6.9367,6.9367
2020/1/27,6.9367,6.9367,6.9367,6.9367
2020/1/24,6.9367,6.9367,6.9367,6.9367
2020/1/23,6.9367,6.9061,6.9367,6.9061
2020/1/22,6.9066,6.9104,6.9196,6.8986
2020/1/21,6.9058,6.8773,6.9096,6.8765
2020/1/20,6.8668,6.8595,6.867,6.8404
2020/1/17,6.8598,6.8756,6.8792,6.8525
2020/1/16,6.8789,6.8849,6.8939,6.8762
2020/1/15,6.8909,6.8938,6.8989,6.8837
2020/1/14,6.8841,6.8759,6.8895,6.8653
2020/1/13,6.8938,6.9122,6.9156,6.8849
2020/1/10,6.9192,6.9318,6.9398,6.9171
2020/1/9,6.9318,6.9319,6.9362,6.921
2020/1/8,6.9462,6.9543,6.9556,6.9373
2020/1/7,6.9452,6.9679,6.9711,6.929
2020/1/6,6.976,6.9686,6.9797,6.9683
2020/1/3,6.9655,6.9616,6.9759,6.9616
2020/1/2,6.9643,6.9597,6.9741,6.9568
2020/1/1,6.9632,6.9632,6.9657,6.9632
2019/12/31,6.9632,6.9832,6.987,6.9556
2019/12/30,6.9867,6.9958,6.9958,6.9783
2019/12/27,6.9958,6.9932,7.0015,6.9916
2019/12/26,6.9965,6.9891,7.0069,6.988
2019/12/25,6.9894,7.0064,7.0064,6.9788
2019/12/24,7.0075,7.0131,7.0151,7.0031
2019/12/23,7.0128,7.0073,7.0142,7.0062
2019/12/20,7.0068,7.0101,7.016,7.003
2019/12/19,7.0104,7.0006,7.0106,6.9971
